timestamp,total_num,state_R,state_S,state_D,state_Z,state_T
1765726561,5,0,5,0,0,0
1765726562,5,1,4,0,0,0
1765726563,5,0,5,0,0,0
1765726565,5,0,5,0,0,0
1765726566,5,0,5,0,0,0
1765726567,5,0,5,0,0,0
1765726568,5,0,5,0,0,0
1765726569,5,0,5,0,0,0
1765726570,5,0,5,0,0,0
1765726571,5,0,5,0,0,0
1765726572,5,0,5,0,0,0
1765726573,5,0,5,0,0,0
1765726574,5,0,5,0,0,0
1765726575,5,0,5,0,0,0
1765726576,5,0,5,0,0,0
1765726577,5,0,5,0,0,0
1765726578,5,0,5,0,0,0
1765726579,5,0,5,0,0,0
1765726580,5,0,5,0,0,0
1765726581,5,0,5,0,0,0
1765726582,5,0,5,0,0,0
1765726583,5,0,5,0,0,0
1765726584,5,0,5,0,0,0
1765726585,5,0,5,0,0,0
1765726586,5,0,5,0,0,0
1765726587,5,0,5,0,0,0
1765726588,5,0,5,0,0,0
1765726590,5,0,5,0,0,0
1765726591,5,0,5,0,0,0
1765726592,5,0,5,0,0,0
1765726593,5,0,5,0,0,0
1765726594,5,0,5,0,0,0
1765726595,5,0,5,0,0,0
1765726596,5,0,5,0,0,0
1765726597,5,0,5,0,0,0
1765726598,5,0,5,0,0,0
1765726599,5,0,5,0,0,0
1765726600,5,0,5,0,0,0
1765726601,5,0,5,0,0,0
1765726602,5,0,5,0,0,0
1765726603,5,0,5,0,0,0
1765726604,5,0,5,0,0,0
1765726605,5,2,3,0,0,0
1765726606,5,0,5,0,0,0
1765726607,5,0,5,0,0,0
1765726608,5,0,5,0,0,0
1765726609,5,0,5,0,0,0
1765726610,5,0,5,0,0,0
1765726611,5,0,5,0,0,0
1765726612,5,0,5,0,0,0
1765726613,5,0,5,0,0,0
1765726615,5,0,5,0,0,0
1765726616,5,0,5,0,0,0
1765726617,5,0,5,0,0,0
1765726618,5,0,5,0,0,0
1765726619,5,0,5,0,0,0
1765726620,5,0,5,0,0,0
1765726621,5,0,5,0,0,0
1765726622,5,0,5,0,0,0
1765726623,5,0,5,0,0,0
1765726624,5,0,4,1,0,0
1765726625,5,0,5,0,0,0
1765726626,5,0,5,0,0,0
1765726627,5,0,5,0,0,0
1765726628,5,0,5,0,0,0
1765726629,5,0,5,0,0,0
1765726630,5,0,5,0,0,0
1765726631,5,0,5,0,0,0
1765726632,5,0,5,0,0,0
1765726633,5,0,5,0,0,0
1765726634,5,0,5,0,0,0
1765726635,5,0,5,0,0,0
1765726636,5,0,5,0,0,0
1765726638,5,0,5,0,0,0
1765726639,5,0,5,0,0,0
1765726640,5,0,5,0,0,0
1765726641,5,0,5,0,0,0
1765726642,5,0,5,0,0,0
1765726643,5,0,5,0,0,0
1765726644,5,0,5,0,0,0
1765726645,5,0,5,0,0,0
1765726646,5,0,5,0,0,0
1765726647,5,0,5,0,0,0
1765726648,5,0,5,0,0,0
1765726649,5,0,5,0,0,0
1765726650,5,0,5,0,0,0
1765726651,5,0,5,0,0,0
1765726652,5,1,4,0,0,0
1765726653,5,0,5,0,0,0
1765726654,5,0,5,0,0,0
1765726655,5,0,5,0,0,0
1765726656,5,0,5,0,0,0
1765726657,5,0,5,0,0,0
1765726658,5,0,5,0,0,0
1765726659,5,0,5,0,0,0
1765726661,5,0,5,0,0,0
1765726662,5,0,5,0,0,0
1765726663,5,0,5,0,0,0
1765726664,5,0,5,0,0,0
1765726665,5,0,5,0,0,0
1765726666,5,0,5,0,0,0
1765726667,5,0,5,0,0,0
1765726668,5,0,5,0,0,0
1765726669,5,0,5,0,0,0
1765726670,5,0,5,0,0,0
1765726671,5,0,5,0,0,0
1765726672,5,0,5,0,0,0
1765726673,5,0,5,0,0,0
1765726674,5,0,5,0,0,0
1765726675,5,0,5,0,0,0
1765726676,5,0,5,0,0,0
1765726677,5,0,5,0,0,0
1765726678,5,0,5,0,0,0
1765726679,5,0,5,0,0,0
1765726680,5,0,5,0,0,0
1765726681,5,0,5,0,0,0
1765726682,5,0,5,0,0,0
1765726683,5,0,5,0,0,0
1765726684,5,0,5,0,0,0
1765726685,5,0,5,0,0,0
1765726686,5,0,5,0,0,0
1765726687,5,0,5,0,0,0
1765726688,5,0,5,0,0,0
1765726689,5,0,5,0,0,0
1765726690,5,0,5,0,0,0
1765726692,5,0,5,0,0,0
1765726693,5,0,5,0,0,0
1765726694,5,0,5,0,0,0
1765726695,5,0,5,0,0,0
1765726696,5,0,5,0,0,0
1765726697,5,0,5,0,0,0
1765726698,5,0,5,0,0,0
1765726699,5,0,5,0,0,0
1765726700,5,0,5,0,0,0
1765726701,5,0,5,0,0,0
1765726702,5,0,5,0,0,0
1765726703,5,0,5,0,0,0
1765726704,5,0,5,0,0,0
1765726705,5,0,5,0,0,0
1765726706,5,0,5,0,0,0
1765726707,5,0,5,0,0,0
1765726708,5,0,5,0,0,0
1765726709,5,0,5,0,0,0
1765726710,5,0,5,0,0,0
1765726711,5,0,5,0,0,0
1765726712,5,0,5,0,0,0
1765726713,5,0,5,0,0,0
1765726714,5,0,5,0,0,0
1765726715,5,0,5,0,0,0
1765726716,5,0,5,0,0,0
1765726717,5,0,4,1,0,0
1765726718,5,0,5,0,0,0
1765726719,5,0,5,0,0,0
1765726721,5,0,5,0,0,0
1765726722,5,0,5,0,0,0
1765726723,5,0,5,0,0,0
1765726724,5,0,5,0,0,0
1765726725,5,0,5,0,0,0
1765726726,5,0,5,0,0,0
1765726727,5,0,5,0,0,0
1765726728,5,0,5,0,0,0
1765726729,5,0,5,0,0,0
1765726730,5,0,5,0,0,0
1765726731,5,0,5,0,0,0
1765726732,5,0,5,0,0,0
1765726733,5,0,5,0,0,0
1765726734,5,0,5,0,0,0
1765726735,5,0,5,0,0,0
1765726736,5,0,5,0,0,0
1765726737,5,0,5,0,0,0
1765726738,5,0,5,0,0,0
1765726739,5,0,5,0,0,0
1765726740,5,0,5,0,0,0
1765726741,5,0,5,0,0,0
1765726742,5,0,5,0,0,0
1765726743,5,0,5,0,0,0
1765726744,5,0,5,0,0,0
1765726746,5,0,5,0,0,0
1765726747,5,0,5,0,0,0
1765726748,5,0,5,0,0,0
1765726749,5,0,5,0,0,0
1765726750,5,0,5,0,0,0
1765726751,5,0,5,0,0,0
1765726752,5,0,5,0,0,0
1765726753,5,0,5,0,0,0
1765726754,5,0,5,0,0,0
1765726755,5,0,5,0,0,0
1765726756,5,0,5,0,0,0
1765726757,5,0,5,0,0,0
1765726758,5,0,5,0,0,0
1765726759,5,0,5,0,0,0
1765726760,5,0,5,0,0,0
1765726761,5,0,5,0,0,0
1765726762,5,0,5,0,0,0
1765726763,5,0,5,0,0,0
1765726764,5,0,5,0,0,0
1765726765,5,0,5,0,0,0
1765726766,5,0,5,0,0,0
1765726767,5,0,5,0,0,0
1765726768,5,0,5,0,0,0
1765726769,5,0,5,0,0,0
1765726770,5,0,5,0,0,0
1765726772,5,0,5,0,0,0
1765726773,5,0,5,0,0,0
1765726774,5,0,5,0,0,0
1765726775,5,0,5,0,0,0
1765726776,5,0,5,0,0,0
1765726777,5,0,5,0,0,0
1765726778,5,0,5,0,0,0
1765726779,5,0,5,0,0,0
1765726780,5,0,5,0,0,0
1765726781,5,0,5,0,0,0
1765726782,5,0,5,0,0,0
1765726783,5,2,2,1,0,0
1765726784,5,0,5,0,0,0
1765726785,5,0,5,0,0,0
1765726786,5,0,5,0,0,0
1765726787,5,0,5,0,0,0
1765726788,5,0,5,0,0,0
1765726789,5,0,5,0,0,0
1765726790,5,2,3,0,0,0
1765726791,5,0,5,0,0,0
1765726792,5,0,5,0,0,0
1765726793,5,0,5,0,0,0
1765726794,5,0,5,0,0,0
1765726796,5,0,5,0,0,0
1765726797,5,0,5,0,0,0
1765726798,5,0,5,0,0,0
1765726799,5,0,5,0,0,0
1765726800,5,0,5,0,0,0
1765726801,5,0,5,0,0,0
1765726802,5,0,5,0,0,0
1765726803,5,0,5,0,0,0
1765726804,5,0,5,0,0,0
1765726805,5,0,5,0,0,0
1765726806,5,0,5,0,0,0
1765726807,5,0,5,0,0,0
1765726808,5,0,5,0,0,0
1765726809,5,0,5,0,0,0
1765726810,5,0,5,0,0,0
1765726811,5,0,5,0,0,0
1765726812,5,0,5,0,0,0
1765726813,5,0,5,0,0,0
1765726814,5,0,5,0,0,0
1765726815,5,0,5,0,0,0
1765726816,5,0,5,0,0,0
1765726817,5,0,5,0,0,0
1765726818,5,0,5,0,0,0
1765726819,5,0,5,0,0,0
1765726821,5,0,5,0,0,0
1765726822,5,0,5,0,0,0
1765726823,5,0,5,0,0,0
1765726824,5,0,5,0,0,0
1765726825,5,0,5,0,0,0
1765726826,5,0,5,0,0,0
1765726827,5,0,5,0,0,0
1765726828,5,0,5,0,0,0
1765726829,5,0,5,0,0,0
1765726830,5,0,5,0,0,0
1765726831,5,0,5,0,0,0
1765726832,5,0,5,0,0,0
1765726833,5,0,5,0,0,0
1765726834,5,0,5,0,0,0
1765726835,5,0,5,0,0,0
1765726836,5,0,5,0,0,0
1765726837,5,0,5,0,0,0
1765726838,5,0,5,0,0,0
1765726839,5,0,5,0,0,0
1765726840,5,0,5,0,0,0
1765726841,5,0,5,0,0,0
1765726842,5,0,5,0,0,0
1765726843,5,0,5,0,0,0
1765726844,5,0,5,0,0,0
1765726845,5,0,5,0,0,0
1765726846,5,0,5,0,0,0
1765726848,5,0,5,0,0,0
1765726849,5,0,5,0,0,0
1765726850,5,0,5,0,0,0
1765726851,5,0,5,0,0,0
1765726852,5,0,5,0,0,0
1765726853,5,0,5,0,0,0
1765726854,5,0,5,0,0,0
1765726855,5,0,5,0,0,0
1765726856,5,0,5,0,0,0
1765726857,5,0,5,0,0,0
1765726858,5,0,5,0,0,0
1765726859,5,0,5,0,0,0
1765726860,5,0,5,0,0,0
1765726861,5,0,5,0,0,0
1765726862,5,0,5,0,0,0
1765726863,5,0,5,0,0,0
1765726864,5,0,5,0,0,0
1765726865,5,0,5,0,0,0
1765726866,5,0,5,0,0,0
1765726867,5,0,5,0,0,0
1765726869,5,0,5,0,0,0
1765726870,5,0,5,0,0,0
1765726871,5,0,5,0,0,0
1765726872,5,0,5,0,0,0
1765726873,5,0,5,0,0,0
1765726874,5,0,5,0,0,0
1765726875,5,0,5,0,0,0
1765726876,5,0,5,0,0,0
1765726877,5,0,5,0,0,0
1765726878,5,0,5,0,0,0
1765726879,5,0,5,0,0,0
1765726880,5,0,5,0,0,0
1765726881,5,0,5,0,0,0
1765726883,5,0,5,0,0,0
1765726884,5,0,5,0,0,0
1765726885,5,0,5,0,0,0
1765726886,5,0,5,0,0,0
1765726887,5,0,5,0,0,0
1765726888,5,0,5,0,0,0
1765726889,5,0,5,0,0,0
1765726890,5,0,5,0,0,0
1765726891,5,0,5,0,0,0
1765726892,5,0,5,0,0,0
1765726893,5,0,5,0,0,0
1765726894,5,0,5,0,0,0
1765726895,5,0,5,0,0,0
1765726896,5,0,5,0,0,0
1765726897,5,0,5,0,0,0
1765726898,5,0,5,0,0,0
1765726899,5,2,3,0,0,0
1765726901,5,0,5,0,0,0
1765726902,5,0,5,0,0,0
1765726903,5,0,5,0,0,0
1765726904,5,0,5,0,0,0
1765726905,5,0,5,0,0,0
1765726906,5,0,5,0,0,0
1765726907,5,0,5,0,0,0
1765726908,5,0,5,0,0,0
1765726909,5,0,5,0,0,0
1765726910,5,0,5,0,0,0
1765726911,5,0,5,0,0,0
1765726912,5,0,5,0,0,0
1765726913,5,0,5,0,0,0
1765726914,5,0,5,0,0,0
1765726916,5,0,5,0,0,0
1765726917,5,0,5,0,0,0
1765726918,5,0,5,0,0,0
1765726919,5,0,5,0,0,0
1765726920,5,0,5,0,0,0
1765726921,5,0,5,0,0,0
1765726922,5,0,5,0,0,0
1765726923,5,0,5,0,0,0
1765726924,5,0,5,0,0,0
1765726925,5,0,5,0,0,0
1765726926,5,0,5,0,0,0
1765726927,5,0,5,0,0,0
1765726928,5,0,5,0,0,0
1765726929,5,0,5,0,0,0
1765726930,5,0,5,0,0,0
1765726931,5,0,5,0,0,0
1765726932,5,0,5,0,0,0
1765726934,5,0,5,0,0,0
1765726935,5,0,5,0,0,0
1765726936,5,0,5,0,0,0
1765726937,5,0,5,0,0,0
1765726938,5,0,5,0,0,0
1765726939,5,0,5,0,0,0
1765726940,5,0,5,0,0,0
1765726941,5,0,5,0,0,0
1765726942,5,0,5,0,0,0
1765726943,5,0,5,0,0,0
1765726944,5,0,5,0,0,0
1765726945,5,0,5,0,0,0
1765726946,5,0,5,0,0,0
1765726947,5,0,5,0,0,0
1765726949,5,0,5,0,0,0
1765726950,5,0,5,0,0,0
1765726951,5,0,5,0,0,0
1765726952,5,0,5,0,0,0
1765726953,5,0,5,0,0,0
1765726954,5,0,5,0,0,0
1765726955,5,0,5,0,0,0
1765726956,5,0,5,0,0,0
1765726957,5,0,5,0,0,0
1765726958,5,1,4,0,0,0
1765726959,6,0,6,0,0,0
1765726961,6,0,6,0,0,0
1765726962,6,0,6,0,0,0
1765726963,6,0,6,0,0,0
1765726964,6,0,6,0,0,0
1765726965,6,0,6,0,0,0
1765726966,6,0,6,0,0,0
1765726967,6,0,6,0,0,0
1765726968,6,0,6,0,0,0
1765726969,6,0,6,0,0,0
1765726970,6,0,6,0,0,0
1765726971,6,0,6,0,0,0
1765726972,6,0,6,0,0,0
1765726974,6,0,6,0,0,0
1765726975,6,0,6,0,0,0
1765726976,6,0,6,0,0,0
1765726977,6,0,6,0,0,0
1765726978,6,0,6,0,0,0
1765726979,6,0,6,0,0,0
1765726980,6,0,6,0,0,0
1765726981,6,0,6,0,0,0
1765726982,6,0,6,0,0,0
1765726983,6,0,6,0,0,0
1765726984,6,0,6,0,0,0
1765726985,6,0,6,0,0,0
1765726986,6,0,6,0,0,0
1765726987,6,0,6,0,0,0
1765726988,6,0,6,0,0,0
1765726989,6,0,6,0,0,0
1765726990,6,0,6,0,0,0
1765726992,6,0,6,0,0,0
1765726993,6,1,5,0,0,0
1765726994,6,0,6,0,0,0
1765726995,6,0,6,0,0,0
1765726996,6,0,6,0,0,0
1765726997,6,0,6,0,0,0
1765726998,6,0,6,0,0,0
1765726999,6,0,6,0,0,0
1765727000,6,0,6,0,0,0
1765727001,6,0,6,0,0,0
1765727002,6,0,6,0,0,0
1765727003,6,0,6,0,0,0
1765727005,6,0,6,0,0,0
1765727006,6,0,6,0,0,0
1765727007,6,0,6,0,0,0
1765727008,6,0,6,0,0,0
1765727009,6,0,6,0,0,0
1765727010,6,0,6,0,0,0
1765727011,6,0,6,0,0,0
1765727012,6,0,6,0,0,0
1765727013,6,0,6,0,0,0
1765727014,6,0,6,0,0,0
1765727015,6,0,6,0,0,0
1765727016,6,0,6,0,0,0
1765727017,6,0,6,0,0,0
1765727018,6,0,6,0,0,0
1765727019,6,0,6,0,0,0
1765727020,6,0,6,0,0,0
1765727021,6,0,6,0,0,0
1765727022,6,0,6,0,0,0
1765727023,6,0,6,0,0,0
1765727025,6,0,6,0,0,0
1765727026,6,0,6,0,0,0
1765727027,6,2,4,0,0,0
1765727028,6,0,6,0,0,0
1765727029,6,0,6,0,0,0
1765727030,6,0,6,0,0,0
1765727031,6,0,6,0,0,0
1765727032,6,0,6,0,0,0
1765727033,6,0,6,0,0,0
1765727034,6,0,6,0,0,0
1765727035,6,0,6,0,0,0
1765727036,6,0,6,0,0,0
1765727037,6,0,6,0,0,0
1765727038,6,0,6,0,0,0
1765727039,6,0,6,0,0,0
1765727040,6,0,6,0,0,0
1765727041,6,0,6,0,0,0
1765727042,6,0,6,0,0,0
1765727043,6,0,6,0,0,0
1765727044,6,0,6,0,0,0
1765727045,6,0,6,0,0,0
1765727046,6,0,6,0,0,0
1765727047,6,0,6,0,0,0
1765727048,6,0,6,0,0,0
1765727050,6,0,6,0,0,0
1765727051,6,0,6,0,0,0
1765727052,6,0,6,0,0,0
1765727053,6,0,6,0,0,0
1765727054,6,0,6,0,0,0
1765727055,6,0,6,0,0,0
1765727056,6,0,6,0,0,0
1765727057,6,1,5,0,0,0
1765727058,6,0,6,0,0,0
1765727059,6,0,6,0,0,0
1765727060,6,0,6,0,0,0
1765727061,6,0,6,0,0,0
1765727062,6,0,6,0,0,0
1765727063,6,0,6,0,0,0
1765727064,6,0,6,0,0,0
1765727065,6,0,6,0,0,0
1765727066,6,0,6,0,0,0
1765727067,6,0,6,0,0,0
1765727068,6,0,6,0,0,0
1765727069,6,0,6,0,0,0
1765727070,6,0,6,0,0,0
1765727071,6,0,6,0,0,0
1765727072,6,1,5,0,0,0
1765727073,6,0,6,0,0,0
1765727075,6,0,6,0,0,0
1765727076,6,0,6,0,0,0
1765727077,6,0,6,0,0,0
1765727078,6,0,6,0,0,0
1765727079,6,0,6,0,0,0
1765727080,6,0,6,0,0,0
1765727081,6,0,6,0,0,0
1765727082,6,0,6,0,0,0
1765727083,6,0,6,0,0,0
1765727084,6,0,6,0,0,0
1765727085,6,0,6,0,0,0
1765727086,6,0,6,0,0,0
1765727087,6,0,6,0,0,0
1765727088,6,2,3,1,0,0
1765727089,6,0,6,0,0,0
1765727090,6,0,6,0,0,0
1765727091,6,0,6,0,0,0
1765727092,6,0,6,0,0,0
1765727093,6,0,6,0,0,0
1765727094,6,2,4,0,0,0
1765727095,6,0,6,0,0,0
1765727096,6,0,6,0,0,0
1765727097,6,0,6,0,0,0
1765727098,6,0,6,0,0,0
1765727099,6,0,6,0,0,0
1765727100,6,0,6,0,0,0
1765727102,6,0,6,0,0,0
1765727103,6,0,6,0,0,0
1765727104,6,1,5,0,0,0
1765727105,6,0,6,0,0,0
1765727106,6,0,6,0,0,0
1765727107,6,0,6,0,0,0
1765727108,6,0,6,0,0,0
1765727109,6,0,6,0,0,0
1765727110,6,0,6,0,0,0
1765727111,6,0,6,0,0,0
1765727112,6,0,6,0,0,0
1765727113,6,0,6,0,0,0
1765727114,6,0,6,0,0,0
1765727115,6,1,5,0,0,0
1765727116,6,0,6,0,0,0
1765727117,6,0,6,0,0,0
1765727118,6,0,6,0,0,0
1765727119,6,0,6,0,0,0
1765727120,6,0,6,0,0,0
1765727121,6,0,6,0,0,0
1765727122,6,0,6,0,0,0
1765727123,6,0,6,0,0,0
1765727124,6,0,6,0,0,0
1765727125,6,0,6,0,0,0
1765727126,6,0,6,0,0,0
1765727127,6,0,6,0,0,0
1765727128,6,0,6,0,0,0
1765727129,6,0,6,0,0,0
1765727130,6,0,6,0,0,0
1765727132,6,0,6,0,0,0
1765727133,6,0,6,0,0,0
1765727134,6,0,6,0,0,0
1765727135,6,0,6,0,0,0
1765727136,6,0,6,0,0,0
1765727137,6,0,6,0,0,0
1765727138,6,0,5,1,0,0
1765727139,6,0,6,0,0,0
1765727140,6,0,6,0,0,0
1765727141,6,0,6,0,0,0
1765727142,6,0,6,0,0,0
1765727143,6,1,4,1,0,0
1765727144,6,0,6,0,0,0
1765727145,6,0,6,0,0,0
1765727146,6,0,6,0,0,0
1765727147,6,0,6,0,0,0
1765727148,6,0,6,0,0,0
1765727149,6,0,6,0,0,0
1765727150,6,0,6,0,0,0
1765727151,6,0,6,0,0,0
1765727152,6,0,6,0,0,0
1765727153,6,0,6,0,0,0
1765727154,6,0,6,0,0,0
1765727156,6,0,6,0,0,0
1765727157,6,0,6,0,0,0
1765727158,6,0,6,0,0,0
1765727159,6,0,6,0,0,0
1765727160,6,1,5,0,0,0
1765727161,6,0,6,0,0,0
1765727162,6,0,6,0,0,0
1765727163,6,0,6,0,0,0
1765727164,6,0,6,0,0,0
1765727165,6,0,6,0,0,0
1765727166,6,0,6,0,0,0
1765727167,6,0,6,0,0,0
1765727168,6,0,6,0,0,0
1765727169,6,0,6,0,0,0
1765727170,6,0,6,0,0,0
1765727171,6,0,6,0,0,0
1765727172,6,0,6,0,0,0
1765727173,6,0,6,0,0,0
1765727174,6,0,6,0,0,0
1765727175,6,0,6,0,0,0
1765727176,6,0,6,0,0,0
1765727177,6,2,4,0,0,0
1765727178,6,0,6,0,0,0
1765727180,6,0,6,0,0,0
1765727181,6,0,6,0,0,0
1765727182,6,0,6,0,0,0
1765727183,6,0,6,0,0,0
1765727184,6,0,6,0,0,0
1765727185,6,0,6,0,0,0
1765727186,6,0,6,0,0,0
1765727187,6,0,6,0,0,0
1765727188,6,0,6,0,0,0
1765727189,6,0,6,0,0,0
1765727190,6,0,6,0,0,0
1765727191,6,0,6,0,0,0
1765727192,6,0,6,0,0,0
1765727193,6,0,6,0,0,0
1765727194,6,2,4,0,0,0
1765727195,6,0,6,0,0,0
1765727196,6,0,6,0,0,0
1765727197,6,0,6,0,0,0
1765727198,6,0,6,0,0,0
1765727200,6,0,6,0,0,0
1765727201,6,0,6,0,0,0
1765727202,6,0,6,0,0,0
1765727203,6,0,6,0,0,0
1765727204,6,0,6,0,0,0
1765727205,6,0,6,0,0,0
1765727206,6,0,6,0,0,0
1765727207,6,0,6,0,0,0
1765727208,6,0,6,0,0,0
1765727209,6,0,6,0,0,0
1765727210,6,0,6,0,0,0
1765727211,6,0,6,0,0,0
1765727212,6,0,6,0,0,0
1765727213,6,0,6,0,0,0
1765727214,6,0,6,0,0,0
1765727215,6,0,6,0,0,0
1765727216,6,0,6,0,0,0
1765727218,6,0,6,0,0,0
1765727219,6,0,6,0,0,0
1765727220,6,0,6,0,0,0
1765727221,6,0,6,0,0,0
1765727222,6,0,6,0,0,0
1765727223,6,0,6,0,0,0
1765727224,6,0,6,0,0,0
1765727225,6,1,5,0,0,0
1765727226,6,0,6,0,0,0
1765727227,6,0,6,0,0,0
1765727228,6,0,6,0,0,0
1765727229,6,0,6,0,0,0
1765727230,6,0,6,0,0,0
1765727231,6,2,4,0,0,0
1765727232,6,0,6,0,0,0
1765727233,6,0,6,0,0,0
1765727235,6,0,6,0,0,0
1765727236,6,0,6,0,0,0
1765727237,6,0,6,0,0,0
1765727238,6,2,4,0,0,0
1765727239,6,0,6,0,0,0
1765727240,6,0,6,0,0,0
1765727241,6,0,6,0,0,0
1765727242,6,0,6,0,0,0
1765727243,6,0,6,0,0,0
1765727244,6,0,6,0,0,0
1765727245,6,0,6,0,0,0
1765727246,6,0,6,0,0,0
1765727247,6,0,6,0,0,0
1765727248,6,0,6,0,0,0
1765727249,6,0,6,0,0,0
1765727250,6,0,6,0,0,0
1765727251,6,0,6,0,0,0
1765727252,6,0,6,0,0,0
1765727253,6,0,6,0,0,0
1765727254,6,0,6,0,0,0
1765727256,6,0,6,0,0,0
1765727257,6,0,6,0,0,0
1765727258,6,0,6,0,0,0
1765727259,6,0,6,0,0,0
1765727260,6,0,6,0,0,0
1765727261,6,0,6,0,0,0
1765727262,6,0,6,0,0,0
1765727263,6,0,6,0,0,0
1765727264,6,0,6,0,0,0
1765727265,6,0,6,0,0,0
1765727266,6,0,6,0,0,0
1765727267,6,0,6,0,0,0
1765727268,6,0,6,0,0,0
1765727269,6,0,6,0,0,0
1765727270,6,0,6,0,0,0
1765727271,6,0,6,0,0,0
1765727272,6,0,6,0,0,0
1765727273,6,0,6,0,0,0
1765727274,6,0,6,0,0,0
1765727275,6,0,6,0,0,0
1765727276,6,0,6,0,0,0
1765727277,6,0,6,0,0,0
1765727278,6,0,6,0,0,0
1765727279,6,0,6,0,0,0
1765727281,6,0,6,0,0,0
1765727282,6,0,6,0,0,0
1765727283,6,0,6,0,0,0
1765727284,6,0,6,0,0,0
