timestamp,io_latency_ms
1765722518,0
1765722519,0
1765722520,0
1765722522,0
1765722523,0
1765722524,0
1765722525,0
1765722526,0
1765722527,0
1765722528,0
1765722529,0
1765722530,0
1765722531,0
1765722532,0
1765722533,0
1765722534,0
1765722535,0
1765722536,0
1765722537,0
1765722538,0
1765722539,0
1765722540,0
1765722541,0
1765722543,0
1765722544,0
1765722545,0
1765722546,0
1765722547,0
1765722548,0
1765722549,0
1765722550,0
1765722551,0
1765722552,0
1765722553,0
1765722554,0
1765722555,0
1765722556,0
1765722557,0
1765722558,0
1765722559,0
1765722560,0
1765722561,0
1765722562,0
1765722563,0
1765722564,0
1765722566,0
1765722567,0
1765722568,0
1765722569,0
1765722570,0
1765722571,0
1765722572,0
1765722573,0
1765722574,0
1765722575,0
1765722576,0
1765722577,0
1765722578,0
1765722579,0
1765722580,0
1765722581,0
1765722582,0
1765722583,0
1765722584,0
1765722585,0
1765722586,0
1765722588,0
1765722589,0
1765722590,0
1765722591,0
1765722592,0
1765722593,0
1765722594,0
1765722595,0
1765722596,0
1765722597,0
1765722598,0
1765722599,0
1765722600,0
1765722601,0
1765722602,0
1765722603,0
1765722604,0
1765722605,0
1765722606,0
1765722607,0
1765722608,0
1765722609,0
1765722610,0
1765722612,0
1765722613,0
1765722614,0
1765722615,0
1765722616,0
1765722617,0
1765722618,0
1765722619,0
1765722620,0
1765722621,0
1765722622,0
1765722623,0
1765722624,0
1765722625,0
1765722626,0
1765722627,0
1765722628,0
1765722629,0
1765722630,0
1765722631,0
1765722632,0
1765722633,0
1765722635,0
1765722636,0
1765722637,0
1765722638,0
1765722639,0
1765722640,0
1765722641,0
1765722642,0
1765722643,0
1765722644,0
1765722645,0
1765722646,0
1765722647,0
1765722648,0
1765722649,0
1765722650,0
1765722652,0
1765722653,0
1765722654,0
1765722655,0
1765722656,0
1765722657,0
1765722658,0
1765722659,0
1765722660,0
1765722661,0
1765722662,0
1765722663,0
1765722664,0
1765722665,0
1765722667,0
1765722668,0
1765722669,0
1765722670,0
1765722671,0
1765722672,0
1765722673,0
1765722674,0
1765722675,0
1765722676,0
1765722677,0
1765722678,0
1765722679,0
1765722680,0
1765722681,0
1765722682,0
1765722683,0
1765722684,0
1765722685,0
1765722686,0
1765722687,0
1765722688,0
1765722689,0
1765722690,0
1765722692,0
1765722693,0
1765722694,0
1765722695,0
1765722696,0
1765722697,0
1765722698,0
1765722699,0
1765722700,0
1765722701,0
1765722702,0
1765722703,0
1765722704,0
1765722705,0
1765722707,0
1765722708,0
1765722709,0
1765722710,0
1765722711,0
1765722712,0
1765722713,0
1765722714,0
1765722715,0
1765722716,0
1765722717,0
1765722718,0
1765722719,0
1765722720,0
1765722721,0
1765722722,0
1765722723,0
1765722724,0
1765722726,0
1765722727,0
1765722728,0
1765722729,0
1765722730,0
1765722731,0
1765722732,0
1765722733,0
1765722734,0
1765722735,0
1765722736,0
1765722737,0
1765722738,0
1765722739,0
1765722740,0
1765722741,0
1765722742,0
1765722743,0
1765722744,0
1765722745,0
1765722746,0
1765722747,0
1765722749,0
1765722750,0
1765722751,0
1765722752,0
1765722753,0
1765722754,0
1765722755,0
1765722756,0
1765722757,0
1765722758,0
1765722759,0
1765722760,0
1765722761,0
1765722762,0
1765722763,0
1765722764,0
1765722765,0
1765722766,0
1765722767,0
1765722768,0
1765722769,0
1765722770,0
1765722771,0
1765722772,0
1765722773,0
1765722775,0
1765722776,0
1765722777,0
1765722778,0
1765722779,0
1765722780,0
1765722781,0
1765722782,0
1765722783,0
1765722784,0
1765722785,0
1765722786,0
1765722787,0
1765722788,0
1765722789,0
1765722790,0
1765722791,0
1765722792,0
1765722793,0
1765722794,0
1765722796,0
1765722797,0
1765722798,0
1765722799,0
1765722800,0
1765722801,0
1765722802,0
1765722803,0
1765722804,0
1765722805,0
1765722806,0
1765722807,0
1765722808,0
1765722809,0
1765722810,0
1765722811,0
1765722812,0
1765722813,0
1765722814,0
1765722815,0
1765722816,0
1765722818,0
1765722819,0
1765722820,0
1765722821,0
1765722822,0
1765722823,0
1765722824,0
1765722825,0
1765722826,0
1765722827,0
1765722828,0
1765722829,0
1765722830,0
1765722831,0
1765722832,0
1765722833,0
1765722834,0
1765722835,0
1765722836,0
1765722837,0
1765722838,0
1765722840,0
1765722841,0
1765722842,0
1765722843,0
1765722844,0
1765722845,0
1765722846,0
1765722847,0
1765722848,0
1765722849,0
1765722850,0
1765722851,0
1765722852,0
1765722853,0
1765722854,0
1765722855,0
1765722856,0
1765722857,0
1765722858,0
1765722859,0
1765722860,0
1765722861,0
1765722863,0
1765722864,0
1765722865,0
1765722866,0
1765722867,0
1765722868,0
1765722869,0
1765722870,0
1765722871,0
1765722872,0
1765722873,0
1765722874,0
1765722875,0
1765722876,0
1765722877,0
1765722878,0
1765722879,0
1765722880,0
1765722881,0
1765722882,0
1765722883,0
1765722884,0
1765722885,0
1765722886,0
1765722887,0
1765722889,0
1765722890,0
1765722891,0
1765722892,0
1765722893,0
1765722894,0
1765722895,0
1765722896,0
1765722897,0
1765722898,0
1765722899,0
1765722900,0
1765722901,0
1765722902,0
1765722903,0
1765722904,0
1765722905,0
1765722906,0
1765722907,0
1765722909,0
1765722910,0
1765722911,0
1765722912,0
1765722913,0
1765722914,0
1765722915,0
1765722916,0
1765722917,0
1765722918,0
1765722919,0
1765722920,0
1765722921,0
1765722922,0
1765722923,0
1765722924,0
1765722925,0
1765722926,0
1765722927,0
1765722928,0
1765722930,0
1765722931,0
1765722932,0
1765722933,0
1765722934,0
1765722935,0
1765722936,0
1765722937,0
1765722938,0
1765722939,0
1765722940,0
1765722941,0
1765722942,0
1765722943,0
1765722944,0
1765722945,0
1765722946,0
1765722947,0
1765722948,0
1765722949,0
1765722951,0
1765722952,0
1765722953,0
1765722954,0
1765722955,0
1765722956,0
1765722957,0
1765722958,0
1765722959,0
1765722960,0
1765722961,0
1765722962,0
1765722963,0
1765722964,0
1765722965,0
1765722966,0
1765722967,0
1765722968,0
1765722969,0
1765722970,0
1765722971,0
1765722972,0
1765722973,0
1765722974,0
1765722976,0
1765722977,0
1765722978,0
1765722979,0
1765722980,0
1765722981,0
1765722982,0
1765722983,0
1765722984,0
1765722985,0
1765722986,0
1765722987,0
1765722988,0
1765722989,0
1765722990,0
1765722991,0
1765722992,0
1765722993,0
1765722994,0
1765722995,0
1765722996,0
1765722997,0
1765722998,0
1765723000,0
1765723001,0
1765723002,0
1765723003,0
1765723004,0
1765723005,0
1765723006,0
1765723007,0
1765723008,0
1765723009,0
1765723010,0
1765723011,0
1765723012,0
1765723013,0
1765723014,0
1765723015,0
1765723016,0
1765723017,0
1765723018,0
1765723020,0
1765723021,0
1765723022,0
1765723023,0
1765723024,0
1765723025,0
1765723026,0
1765723027,0
1765723028,0
1765723029,0
1765723030,0
1765723031,0
1765723032,0
1765723033,0
1765723034,0
1765723035,0
1765723036,0
1765723037,0
1765723038,0
1765723039,0
1765723040,0
1765723041,0
1765723043,0
1765723044,0
1765723045,0
1765723046,0
1765723047,0
1765723048,0
1765723049,0
1765723050,0
1765723051,0
1765723052,0
1765723053,0
1765723054,0
1765723055,0
1765723056,0
1765723057,0
1765723058,0
1765723059,0
1765723060,0
1765723061,0
1765723062,0
1765723063,0
1765723064,0
1765723066,0
1765723067,0
1765723068,0
1765723069,0
1765723070,0
1765723071,0
1765723072,0
1765723073,0
1765723074,0
1765723075,0
1765723076,0
1765723077,0
1765723078,0
1765723079,0
1765723080,0
1765723081,0
1765723082,0
1765723083,0
1765723084,0
1765723085,0
1765723086,0
1765723087,0
1765723088,0
1765723090,0
1765723091,0
1765723092,0
1765723093,0
1765723094,0
1765723095,0
1765723096,0
1765723097,0
1765723098,0
1765723099,0
1765723100,0
1765723101,0
1765723102,0
1765723103,0
1765723104,0
1765723105,0
1765723106,0
1765723108,0
1765723109,0
1765723110,0
1765723111,0
1765723112,0
1765723113,0
1765723114,0
1765723115,0
1765723116,0
1765723117,0
1765723118,0
1765723119,0
1765723120,0
1765723121,0
1765723122,0
1765723123,0
1765723124,0
1765723125,0
1765723126,0
1765723127,0
1765723128,0
1765723129,0
1765723130,0
1765723131,0
1765723133,0
1765723134,0
1765723135,0
1765723136,0
1765723137,0
1765723138,0
1765723139,0
1765723140,0
1765723141,0
1765723142,0
1765723143,0
1765723144,0
1765723145,0
1765723146,0
1765723147,0
1765723148,0
1765723149,0
1765723150,0
1765723151,0
1765723152,0
1765723154,0
1765723155,0
1765723156,0
1765723157,0
1765723158,0
1765723159,0
1765723160,0
1765723161,0
1765723162,0
1765723163,0
1765723164,0
1765723165,0
1765723166,0
1765723167,0
1765723168,0
1765723169,0
1765723170,0
1765723171,0
1765723172,0
1765723173,0
1765723174,0
1765723175,0
1765723176,0
1765723178,0
1765723179,0
1765723180,0
1765723181,0
1765723182,0
1765723183,0
1765723184,0
1765723185,0
1765723186,0
1765723187,0
1765723188,0
1765723189,0
1765723190,0
1765723191,0
1765723192,0
1765723193,0
1765723194,0
1765723195,0
1765723196,0
1765723197,0
1765723198,0
1765723200,0
1765723201,0
1765723202,0
1765723203,0
1765723204,0
1765723205,0
1765723206,0
1765723207,0
1765723208,0
1765723209,0
1765723210,0
1765723211,0
1765723212,0
1765723213,0
1765723214,0
1765723215,0
1765723216,0
1765723217,0
1765723218,0
1765723219,0
1765723220,0
1765723221,0
1765723222,0
1765723223,0
1765723224,0
1765723225,0
1765723226,0
1765723228,0
1765723229,0
1765723230,0
1765723231,0
1765723232,0
1765723233,0
1765723234,0
1765723235,0
1765723236,0
1765723237,0
1765723238,0
1765723239,0
1765723240,0
1765723241,0
1765723242,0
1765723243,0
1765723244,0
1765723245,0
1765723246,0
1765723247,0
1765723248,0
1765723249,0
1765723251,0
1765723252,0
1765723253,0
1765723254,0
1765723255,0
1765723256,0
1765723257,0
1765723258,0
1765723259,0
1765723260,0
1765723261,0
1765723262,0
1765723263,0
1765723264,0
1765723265,0
1765723266,0
1765723267,0
1765723268,0
1765723269,0
1765723270,0
1765723271,0
1765723273,0
1765723274,0
1765723275,0
1765723276,0
1765723277,0
1765723278,0
1765723279,0
1765723280,0
1765723281,0
1765723282,0
1765723283,0
1765723284,0
1765723285,0
1765723286,0
1765723287,0
1765723288,0
1765723289,0
1765723290,0
1765723291,0
1765723292,0
1765723293,0
1765723294,0
1765723295,0
1765723296,0
1765723298,0
1765723299,0
1765723300,0
1765723301,0
1765723302,0
1765723303,0
1765723304,0
1765723305,0
1765723306,0
1765723307,0
1765723308,0
1765723309,0
1765723310,0
1765723311,0
1765723312,0
1765723313,0
1765723314,0
1765723315,0
1765723316,0
1765723317,0
1765723318,0
1765723319,0
1765723320,0
1765723322,0
1765723323,0
1765723324,0
1765723325,0
1765723326,0
1765723327,0
1765723328,0
1765723329,0
1765723330,0
1765723331,0
1765723332,0
1765723333,0
1765723334,0
1765723335,0
1765723336,0
1765723337,0
1765723338,0
1765723339,0
1765723340,0
1765723341,0
1765723342,0
1765723343,0
1765723344,0
1765723345,0
1765723346,0
1765723347,0
1765723348,0
1765723349,0
1765723351,0
1765723352,0
1765723353,0
1765723354,0
1765723355,0
1765723356,0
1765723357,0
1765723358,0
1765723359,0
1765723360,0
1765723361,0
1765723362,0
1765723363,0
1765723364,0
1765723365,0
1765723366,0
1765723367,0
1765723368,0
1765723369,0
1765723370,0
1765723371,0
1765723373,0
1765723374,0
1765723375,0
1765723376,0
1765723377,0
1765723378,0
1765723379,0
1765723380,0
1765723381,0
1765723382,0
1765723383,0
1765723384,0
1765723385,0
1765723386,0
1765723387,0
1765723388,0
1765723389,0
1765723390,0
1765723391,0
1765723392,0
1765723393,0
1765723394,0
1765723395,0
1765723397,0
1765723398,0
1765723399,0
1765723400,0
1765723401,0
1765723402,0
1765723403,0
1765723404,0
1765723405,0
1765723406,0
1765723407,0
1765723408,0
1765723409,0
1765723410,0
1765723411,0
1765723412,0
1765723413,0
1765723414,0
1765723415,0
1765723416,0
1765723417,0
1765723418,0
1765723420,0
1765723421,0
1765723422,0
1765723423,0
1765723424,0
1765723425,0
1765723426,0
1765723427,0
1765723428,0
1765723429,0
1765723430,0
1765723431,0
1765723432,0
1765723433,0
1765723434,0
1765723435,0
1765723436,0
1765723437,0
1765723438,0
1765723439,0
1765723441,0
1765723442,0
1765723443,0
1765723444,0
1765723445,0
1765723446,0
1765723447,0
1765723448,0
1765723449,0
1765723450,0
1765723451,0
1765723452,0
1765723453,0
1765723454,0
1765723455,0
1765723456,0
1765723457,0
1765723458,0
1765723459,0
1765723460,0
1765723461,0
1765723462,0
1765723463,0
1765723464,0
1765723465,0
1765723466,0
1765723467,0
1765723468,0
1765723469,0
1765723470,0
1765723471,0
1765723473,0
1765723474,0
1765723475,0
1765723476,0
1765723477,0
1765723478,0
1765723479,0
1765723480,0
1765723481,0
1765723482,0
1765723483,0
1765723484,0
1765723485,0
1765723486,0
1765723487,0
1765723488,0
1765723489,0
1765723490,0
1765723491,0
1765723492,0
1765723493,0
1765723494,0
1765723495,0
1765723496,0
1765723497,0
1765723498,0
1765723499,0
1765723501,0
1765723502,0
1765723503,0
1765723504,0
1765723505,0
1765723506,0
1765723507,0
1765723508,0
1765723509,0
1765723510,0
1765723511,0
1765723512,0
1765723513,0
1765723514,0
1765723515,0
1765723516,0
1765723517,0
1765723518,0
1765723519,0
1765723520,0
1765723522,0
1765723523,0
1765723524,0
1765723525,0
1765723526,0
1765723527,0
1765723528,0
1765723529,0
1765723530,0
1765723531,0
1765723532,0
1765723533,0
1765723534,0
1765723535,0
1765723536,0
1765723537,0
1765723538,0
1765723539,0
1765723540,0
1765723541,0
1765723542,0
1765723543,0
1765723544,0
1765723545,0
1765723546,0
1765723547,0
1765723548,0
1765723549,0
1765723551,0
1765723552,0
1765723553,0
1765723554,0
1765723555,0
1765723556,0
1765723557,0
1765723558,0
1765723559,0
1765723560,0
1765723561,0
1765723562,0
1765723563,0
1765723564,0
1765723565,0
1765723566,0
1765723567,0
1765723568,0
1765723569,0
1765723570,0
1765723571,0
1765723572,0
1765723573,0
1765723575,0
1765723576,0
1765723577,0
1765723578,0
1765723579,0
1765723580,0
1765723581,0
1765723582,0
1765723583,0
1765723584,0
1765723585,0
1765723586,0
1765723587,0
1765723588,0
1765723589,0
1765723590,0
1765723591,0
1765723592,0
1765723593,0
1765723594,0
1765723596,0
1765723597,0
1765723598,0
1765723599,0
1765723600,0
1765723601,0
1765723602,0
1765723603,0
1765723604,0
1765723605,0
1765723606,0
1765723607,0
1765723608,0
1765723609,0
1765723610,0
1765723611,0
1765723612,0
1765723613,0
1765723614,0
1765723615,0
1765723616,0
1765723617,0
1765723618,0
1765723619,0
1765723620,0
1765723621,0
1765723623,0
1765723624,0
1765723625,0
1765723626,0
1765723627,0
1765723628,0
1765723629,0
1765723630,0
1765723631,0
1765723632,0
1765723633,0
1765723634,0
1765723635,0
1765723636,0
1765723637,0
1765723638,0
1765723639,0
1765723640,0
1765723641,0
1765723643,0
1765723644,0
1765723645,0
1765723646,0
1765723647,0
1765723648,0
1765723649,0
1765723650,0
1765723651,0
1765723652,0
1765723653,0
1765723654,0
1765723655,0
1765723656,0
1765723657,0
1765723658,0
1765723659,0
1765723660,0
1765723661,0
1765723662,0
1765723664,0
1765723665,0
1765723666,0
1765723667,0
1765723668,0
1765723669,0
1765723670,0
1765723671,0
1765723672,0
1765723673,0
1765723674,0
1765723675,0
1765723676,0
1765723677,0
1765723678,0
1765723679,0
1765723680,0
1765723681,0
1765723682,0
1765723684,0
1765723685,0
1765723686,0
1765723687,0
1765723688,0
1765723689,0
1765723690,0
1765723691,0
1765723692,0
1765723693,0
1765723694,0
1765723695,0
1765723696,0
1765723697,0
1765723698,0
1765723699,0
1765723700,0
1765723701,0
1765723702,0
1765723703,0
1765723704,0
1765723705,0
1765723706,0
1765723708,0
1765723709,0
1765723710,0
1765723711,0
1765723712,0
1765723713,0
1765723714,0
1765723715,0
1765723716,0
1765723717,0
1765723718,0
1765723719,0
1765723720,0
1765723721,0
1765723722,0
1765723723,0
1765723724,0
1765723725,0
1765723726,0
1765723727,0
1765723728,0
1765723729,0
1765723730,0
1765723731,0
1765723732,0
1765723733,0
1765723734,0
1765723735,0
1765723736,0
1765723738,0
1765723739,0
1765723740,0
1765723741,0
1765723742,0
1765723743,0
1765723744,0
1765723745,0
1765723746,0
1765723747,0
1765723748,0
1765723749,0
1765723750,0
1765723751,0
1765723752,0
1765723753,0
1765723754,0
1765723755,0
1765723756,0
1765723758,0
1765723759,0
1765723760,0
1765723761,0
1765723762,0
1765723763,0
1765723764,0
1765723765,0
1765723766,0
1765723767,0
1765723768,0
1765723769,0
1765723770,0
1765723771,0
1765723772,0
1765723773,0
1765723774,0
1765723775,0
1765723776,0
1765723777,0
1765723778,0
1765723779,0
1765723780,0
1765723782,0
1765723783,0
1765723784,0
1765723785,0
1765723786,0
1765723787,0
1765723788,0
1765723789,0
1765723790,0
1765723791,0
1765723792,0
1765723793,0
1765723794,0
1765723795,0
1765723796,0
1765723797,0
1765723798,0
1765723799,0
1765723800,0
1765723801,0
1765723802,0
1765723804,0
1765723805,0
1765723806,0
1765723807,0
1765723808,0
1765723809,0
1765723810,0
1765723811,0
1765723812,0
1765723813,0
1765723814,0
1765723815,0
1765723816,0
1765723817,0
1765723818,0
1765723819,0
1765723820,0
1765723821,0
1765723822,0
1765723824,0
1765723825,0
1765723826,0
1765723827,0
1765723828,0
1765723829,0
1765723830,0
1765723831,0
1765723832,0
1765723833,0
1765723834,0
1765723835,0
1765723836,0
1765723837,0
1765723838,0
1765723839,0
1765723840,0
1765723841,0
1765723842,0
1765723843,0
1765723844,0
1765723846,0
1765723847,0
1765723848,0
1765723849,0
1765723850,0
1765723851,0
1765723852,0
1765723853,0
1765723854,0
1765723855,0
1765723856,0
1765723857,0
1765723858,0
